Id,SalePrice
1,61920.752752
2,197205.406004
3,124692.139747
4,289537.15965
5,228262.351161
6,113911.137234
7,162207.873281
8,118279.859552
9,98275.7110939
10,160451.577401
11,149202.144875
12,126954.753136
13,137371.564269
14,213960.105771
15,126977.049165
16,124183.771742
17,183576.650452
18,219552.991416
19,236726.887723
20,188827.323909
21,205302.620963
22,601540.31005
23,160776.794632
24,158699.990568
25,210062.584343
26,231671.289442
27,314694.847124
28,125879.614864
29,121878.655674
30,130738.638255
31,97837.0130605
32,249659.175075
33,309795.001471
34,733665.541081
35,137942.290795
36,196954.108414
37,106252.593908
38,184657.421934
39,196398.433042
40,176443.744874
41,171081.607911
42,128119.848497
43,165663.643818
44,152118.445347
45,167180.489807
46,225482.297068
47,152589.192319
48,178203.159755
49,142857.42701
50,98185.5166274
51,195543.937215
52,134676.514821
53,205764.469624
54,145109.231135
55,278416.523016
56,116345.781341
57,211695.744028
58,144715.323183
59,301194.908527
60,191961.328054
61,233095.99823
62,86646.1131982
63,141007.341149
64,128318.413356
65,116383.852162
66,130850.049928
67,244475.46296
68,94802.7812183
69,107521.126665
70,122996.369656
71,148235.973295
72,137035.831052
73,191706.07
74,135433.92412
75,218598.806225
76,147966.895435
77,365321.368403
78,129861.727276
79,197718.566762
80,137372.728893
81,99984.3101976
82,128280.329395
83,117870.270748
84,148010.936339
85,168789.282705
86,214973.862726
87,143476.857224
88,216926.147608
89,210210.03662
90,250195.259639
91,156121.589075
92,452881.418964
93,204035.459029
94,202668.091425
95,197935.023681
96,138247.741873
97,140706.805184
98,120682.653042
99,264039.827878
100,193267.605465
101,109280.201101
102,275190.410699
103,188490.361719
104,134842.514957
105,316866.550023
106,91343.0586284
107,189131.845832
108,154332.408181
109,187793.724015
110,126075.17221
111,138854.456349
112,157510.002098
113,163749.593804
114,171304.863203
115,127605.341898
116,337757.264234
117,396676.164057
118,132958.531088
119,170168.998971
120,130039.508515
121,180143.911926
122,136716.514136
123,162683.699001
124,184017.27291
125,253667.185127
126,78462.206718
127,208695.581853
128,194627.667203
129,149688.753459
130,138743.033719
131,172064.44114
132,130475.272139
133,147489.101949
134,172341.601342
135,247515.438195
136,289399.806187
137,158496.8044
138,118530.735867
139,118610.009049
140,177939.548902
141,123920.879032
142,126462.917466
143,147863.782745
144,150654.842449
145,161043.715646
146,233489.512669
147,160822.746988
148,313674.022703
149,226345.727873
150,139795.967987
151,325507.46844
152,200828.583288
153,142587.940333
154,137488.404969
155,164723.560063
156,309634.693745
157,203336.415273
158,315007.734406
159,341812.874459
160,115082.31258
161,192709.645988
162,261311.181792
163,208612.266056
164,266062.545451
165,106219.84852
166,162048.546257
167,78840.6655434
168,226817.913345
169,84464.2461739
170,266474.693844
171,67960.2251591
172,88920.3509574
173,134062.028303
174,213345.500668
175,184281.881244
176,245955.351637
177,126898.601212
178,109973.9133
179,124376.209172
180,115774.278109
181,161520.276071
182,144525.690378
183,66574.378435
184,228882.346934
185,126456.899523
186,108142.924607
187,157536.381338
188,243686.421854
189,172870.237784
190,187104.061239
191,90464.5010058
192,267309.303581
193,291472.918765
194,232412.998337
195,191448.023189
196,165765.748798
197,143856.881013
198,391592.486033
199,235916.880523
200,199575.722713
201,107628.975548
202,160786.408338
203,167597.500832
204,371895.743812
205,191089.903102
206,265235.211092
207,126019.008082
208,173895.265615
209,146989.763249
210,205207.018015
211,199847.333845
212,129405.368653
213,140161.342577
214,243145.333573
215,183373.810007
216,271030.411171
217,473339.484583
218,243954.467834
219,241828.368606
220,94298.3382014
221,133925.002518
222,100100.692163
223,75382.4839777
224,226719.748883
225,151640.633124
226,142514.735075
227,110173.052051
228,116500.695717
229,150789.199246
230,343915.020258
231,130604.539563
232,227071.701586
233,128330.710194
234,122360.520617
235,148136.074997
236,226516.373133
237,285975.471168
238,157288.582032
239,143604.232234
240,139373.221182
241,154147.830387
242,122097.382282
243,193585.002069
244,195493.539015
245,262465.818967
246,92007.8900877
247,270784.62834
248,132112.453271
249,109564.883027
250,113460.843664
251,214817.460517
252,220036.822757
253,152451.004222
254,95580.6294217
255,270477.267139
256,182031.465483
257,210115.203977
258,121552.901524
259,313553.062091
260,133343.717131
261,220418.923817
262,171893.026271
263,140553.996419
264,135160.916829
265,138941.526602
266,144554.734175
267,261685.746697
268,144634.349519
269,104929.782119
270,186692.795977
271,180344.246842
272,135713.012182
273,100823.860388
274,192873.549778
275,163018.370448
276,180611.196078
277,112191.770817
278,370097.543815
279,146613.901557
280,192441.153151
281,228943.902753
282,142794.095467
283,340656.148128
284,104671.800969
285,189044.519373
286,126071.492959
287,145994.582018
288,265069.712807
289,104570.435163
290,85550.6717222
291,128563.505924
292,252335.582286
293,137885.777658
294,133968.470528
295,191934.364875
296,174943.342943
297,206156.514448
298,263651.652036
299,141490.28892
300,157613.371133
